8.6,21.6,7,2.9,46,14.6,51,3,15,1016.9,21,44,7,20,1015.7
13.9,20.3,4,1.6,39,17,64,7,7,1020.3,15.9,82,7,20,1021.2
11.5,21.2,3.6,10.9,41,17.2,64,4,7,1025.5,20.2,62,1,24,1024.2
14.6,19.2,7,10.7,39,15.6,73,7,13,1024.5,18.1,64,3,24,1022.9
11.5,20.4,6.4,12.4,41,18,52,1,4,1021.9,19.1,55,1,26,1020.5
11.6,24.5,7.8,12.9,33,17.2,63,1,11,1022,23.8,54,1,20,1020
15.6,26.6,7.6,12.5,37,19.6,68,6,15,1019.5,24,51,1,22,1016.8
18.4,22,7.2,0.5,31,18.5,80,8,9,1013.8,20.1,74,7,9,1013
16.5,23.1,3.2,6.8,31,17.8,83,8,6,1016.4,22.5,58,2,20,1014.7
17.2,30.5,5.4,8,67,22.6,52,7,26,1006,29,38,7,30,997.5
13.4,20.3,8,8.1,48,14.2,50,5,13,1004.7,18.7,40,4,19,1005.1
9,23,5.6,11.2,44,14.7,55,5,28,1005.2,17.7,75,7,19,1006.8
12.9,20.9,5.6,8.8,30,14.9,74,7,6,1012.7,20.1,49,3,19,1009.2
14.7,18.8,7.8,6.9,98,18.1,66,7,26,989.3,15.4,59,7,35,992.8
9.9,21.2,7,7.2,83,15.2,68,7,11,999.7,20.3,37,7,43,998.2
11.2,17.8,6.4,7.8,74,13.5,49,7,33,1003.5,16.3,48,7,15,1005.4
13.3,23.6,6,2.7,54,15.8,56,7,22,1006.4,22.8,44,6,26,1003.8
14.5,18.5,5,3.2,44,15.5,70,7,9,1011.7,16.5,61,7,17,1013
11.2,15.5,5,4.6,44,13,60,7,20,1024,14.8,50,5,24,1025.5
12.1,18.1,5,7.2,26,13.2,59,7,6,1027.2,17.8,47,1,17,1024.1
10.9,23.1,4,6.9,31,13.1,71,7,11,1020.1,21.2,47,6,17,1017.2
10.6,22.2,3.8,12.5,30,15,70,1,17,1018.8,21.7,57,1,19,1016.5
13.8,22.4,6.2,0.6,35,16.7,75,7,24,1012.3,19.8,75,8,17,1008.3
16.7,22.7,1.4,2.6,46,18.5,94,8,7,997.6,21.2,68,7,9,997.5
11,16.7,3.6,6.3,43,12.8,58,7,19,1014.1,14.9,59,7,26,1016.9
9.2,22.7,4.4,11.3,33,14.2,62,2,17,1021.8,21.3,37,6,17,1018.8
10.4,26.3,4.6,8.7,46,14.3,69,5,20,1017.4,25.4,32,7,19,1011.5
13.8,25.5,7,2.4,50,19.2,61,7,19,1004,21.2,62,7,15,999.9
14,20.2,5.8,5.9,50,16.5,62,2,7,1013.1,17.4,66,7,20,1014.3
13.3,23.1,2.4,10.7,28,15.1,77,7,19,1016.3,20.9,61,6,17,1013
13.2,26.8,3.6,10.1,39,16.4,80,1,15,1008.7,22.4,60,6,22,1003.8
12.1,21.3,7,7.6,50,15.6,49,1,19,1012,19.4,37,6,17,1011.9
11.2,19.5,5.4,5.1,35,13.6,60,7,6,1016.8,18.3,47,7,19,1018.7
8.8,20.5,2.6,11.6,33,13.7,66,1,11,1027.7,19.7,50,1,19,1026.8
10.9,21,3,12,35,15.7,74,1,2,1029.3,20.2,61,1,22,1027
15.5,20.7,5.2,6.5,35,16.6,76,7,7,1028.1,20.2,68,1,24,1027
13,24.4,4.4,11,39,17.3,78,7,13,1028,19.6,69,6,24,1027
15.6,28.2,4,11.6,28,18.9,70,7,17,1025.8,25,49,5,20,1020.1
18.2,25,6.6,11.7,39,20.3,62,2,9,1017.5,24.6,28,1,11,1017.6
13.2,21.8,6.2,5.8,54,15.2,59,7,31,1014.9,19.2,49,7,28,1013.7
13.3,23.7,6.2,5.9,54,17.6,55,7,19,1016.2,21.4,49,7,17,1016.8
11.9,21.4,3.8,8.2,37,14.3,76,7,7,1017.4,20.7,50,3,15,1013.9
14.3,19.4,4.8,0.4,54,15.7,60,8,9,1010.9,18.4,45,7,19,1012.2
10.5,20.2,2.8,1.9,35,13.1,58,7,6,1020.6,18.5,50,6,11,1016.5
13.1,30.1,3.8,9.8,57,18.6,67,2,19,1008.2,29.7,29,6,22,1004.2
17.1,19.3,8.8,6.7,102,17.3,88,8,17,992.8,17.6,41,6,28,995.4
13.7,21.1,7.4,7,98,19.3,57,6,35,995,18.8,38,5,37,1000.5
8.6,16.4,3.6,9.9,50,10.7,57,3,9,1021.9,16.1,40,3,19,1028.4
7.1,16.2,4,3.1,35,8.5,74,7,13,1040.5,15.4,54,7,11,1039.1
8.5,16.8,2.6,0.9,43,13.5,67,7,13,1037.2,16,63,7,22,1034
12.9,23.4,2,7.4,43,14.8,69,6,13,1026.9,22.9,42,4,20,1020.5
14.7,19.5,4.6,1.7,41,16.5,71,7,11,1012.7,17.2,82,8,19,1007.6
11.8,20.6,1.2,6.1,61,12.6,93,8,6,994.5,19.5,54,3,26,987.3
9.8,15.9,1.8,4.2,74,10.2,79,7,11,989.2,13.5,72,7,17,996.9
9.9,18.8,2,8.6,35,12.5,54,4,20,1013.6,17.8,43,6,11,1012.5
12.2,24.9,3.2,9.3,46,14.5,74,2,20,1008,22.7,46,4,9,1006.3
13.1,22.2,5,7.9,52,15,62,2,20,1011.8,20.8,44,6,24,1008.7
14.3,19.5,5.4,6.9,70,14.4,78,7,26,1004.7,18.2,37,6,24,1007.2
10.1,21.1,5.8,9.7,41,13.1,64,7,20,1017.5,20.2,35,1,11,1013.5
12.9,22.4,4.2,4.2,57.5,15.6,58,7,17,1007.6,20.5,50,7,30,1005.4
11.9,20.1,4,7.8,74,15.8,59,6,20,1005.9,18,35,5,13,1009.8
14.1,23.3,4.4,6.1,65,17.2,58,6,35,1015.3,23,37,1,24,1014.4
11.8,24.6,4.8,10.7,43,17.9,53,1,11,1017.5,22.2,41,1,15,1014.1
10.7,23.3,5,6.9,46,14.8,67,5,17,1012.1,21.1,44,6,22,1009.5
10.4,16.1,3.2,2.6,35,13.7,56,7,7,1017.7,14.5,59,7,20,1018.3
