4.5,11,2.4,6.3,56,8.4,61,6,9,1022.9,8.7,67,6,19,1026.1
2.9,11,1.8,6.3,24,6,74,6,17,1033.6,10.1,54,2,13,1030.8
1,15,1.4,8.5,43,5.2,73,1,20,1025.5,13.1,46,3,17,1019.5
5.2,18.9,3.8,7.4,48,9.4,68,5,20,1014.4,17.4,44,6,20,1009.1
8.7,20.1,2.8,5.4,80,13.2,67,7,17,994.4,15.1,46,7,39,989.2
5.4,10.1,4,9,70,7.5,61,2,28,991.2,7.6,63,7,28,991.1
2.8,9.3,4.6,7.5,57,5.1,70,7,24,992.2,7,60,3,37,992.2
3.6,11.7,3,8.6,63,7.2,64,3,9,997.9,9.7,61,2,24,1001.6
7.2,14.8,3,5.9,80,8.5,74,5,15,1003.4,10,66,6,46,1001.7
2.7,10.4,2.6,7.3,57,6.3,66,7,7,1011.9,8.1,58,5,24,1010.9
3.6,13.5,2,7.8,46,9.1,52,2,9,1018.8,12.5,48,5,15,1016.4
5.5,14.6,2.8,8.4,28,12.5,57,3,11,1018.6,13.4,58,4,13,1016.3
5.3,16,1.6,2.6,44,7.9,80,7,22,1009,15.5,61,7,17,1003.8
7.8,11.1,1.6,1.8,26,10.2,77,7,11,1005.6,10,84,8,13,1003.7
5.4,13.9,0.8,2.8,52,7.6,83,7,24,996.2,12.2,69,7,26,994.2
5.6,15,3.2,4.3,72,9.3,49,7,19,998.9,13.9,46,4,20,1000.7
5.3,15.5,2.6,6,63,10.4,56,7,31,1005.8,13.7,29,2,31,1004.3
3.9,10.9,4.2,4.9,59,8,53,5,15,1013.2,8.5,71,6,19,1015.2
2.8,16.5,1.6,7.8,46,9.4,61,5,13,1022.4,16.3,30,7,22,1015.6
9.3,21.4,4,4.4,87,13.9,49,7,15,1008,17.3,42,7,39,1001.4
8.2,11.9,5.8,9.3,69,10.4,51,2,26,1007.7,9.8,55,7,17,1012.1
3.1,16.3,3.6,6.2,43,8.8,64,7,17,1017.2,15.4,47,6,13,1011.6
8.5,22.3,2.6,5.5,65,12.4,67,8,16,1006.9,20.7,37,6,31,999.2
9.1,19.5,3.6,8,46,12.8,57,6,15,1008.1,18.7,36,7,11,1004.9
10.1,17.1,5.4,1.8,50,11.5,86,7,28,996.9,15.3,80,7,22,990
11.3,17.9,3.2,9,65,13.6,61,5,19,987.2,15.1,58,6,13,986.3
7.4,14.5,3.6,4.4,59,11.6,51,4,22,997.9,12.3,59,7,20,1002.4
4.1,14.5,2.8,8.9,35,10.6,55,3,15,1013.1,13,50,6,13,1012.3
3.5,14,3.6,3.7,44,9.4,61,1,17,1010.1,12.4,59,7,13,1001.7
7,16.1,2,9,76,13.7,48,4,13,997.4,14.6,46,7,28,998.6
7.6,16.5,3.8,10,72,12,61,7,17,1003.7,15.4,32,2,24,998.7
3.8,14.4,4.6,9.1,70,8.1,55,6,26,1004.7,12.1,33,6,15,1008.5
8,20,6.6,9.5,67,14,57,7,31,1008.7,18.3,49,5,13,1010.3
